@RELATION RSSI

@ATTRIBUTE r1  NUMERIC
@ATTRIBUTE r2   NUMERIC
@ATTRIBUTE r3  NUMERIC
@ATTRIBUTE r4   NUMERIC
@ATTRIBUTE class        {pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15}

@DATA
48,15,39,31,pos1
45,18,39,20,pos1
49,14,38,28,pos1
37,17,24,19,pos1
46,16,39,30,pos1
46,15,38,32,pos1
45,14,26,31,pos1
49,14,26,31,pos1
46,15,26,19,pos1
43,14,25,30,pos1
43,14,38,35,pos1
49,18,38,31,pos1
44,15,24,18,pos1
45,18,38,20,pos1
44,15,39,31,pos1
49,17,38,21,pos1
44,18,27,30,pos1
51,15,37,30,pos1
50,19,41,30,pos1
45,15,39,22,pos1
49,15,25,21,pos1
51,22,40,31,pos1
43,15,38,20,pos1
46,20,37,30,pos1
45,17,38,21,pos1
49,19,37,29,pos1
43,19,38,24,pos1
39,18,23,21,pos1
48,14,26,35,pos1
48,19,37,31,pos1
44,18,28,20,pos1
50,20,37,27,pos1
49,20,21,31,pos1
49,19,36,32,pos1
51,14,25,34,pos1
43,16,26,30,pos1
42,19,26,30,pos1
42,16,38,28,pos1
44,14,40,22,pos1
41,19,26,21,pos1
45,19,40,30,pos1
51,19,39,20,pos1
47,15,26,30,pos1
50,16,27,21,pos1
49,21,40,29,pos1
42,16,28,31,pos1
44,17,37,32,pos1
48,19,39,30,pos1
40,19,38,35,pos1
51,19,39,31,pos1
43,15,26,31,pos1
47,15,40,19,pos1
46,16,39,34,pos1
47,16,39,32,pos1
45,15,25,21,pos1
47,18,39,29,pos1
48,16,40,21,pos1
48,21,27,23,pos1
45,19,40,32,pos1
46,18,42,34,pos1
49,16,38,28,pos1
47,15,25,33,pos1
45,16,40,33,pos1
49,16,39,20,pos1
50,14,39,34,pos1
47,9,33,33,pos2
44,17,31,29,pos2
48,18,42,26,pos2
41,15,40,34,pos2
45,17,33,29,pos2
47,19,40,24,pos2
44,11,39,33,pos2
45,7,33,28,pos2
43,8,33,30,pos2
49,16,39,34,pos2
46,18,43,32,pos2
44,16,39,34,pos2
42,9,43,34,pos2
43,13,39,27,pos2
46,18,33,30,pos2
42,17,39,29,pos2
45,18,42,26,pos2
43,18,42,23,pos2
46,18,43,33,pos2
42,9,37,27,pos2
44,19,44,27,pos2
47,15,42,35,pos2
40,6,44,25,pos2
46,14,39,25,pos2
44,8,38,28,pos2
37,18,39,33,pos2
46,10,39,35,pos2
47,15,33,38,pos2
41,10,42,31,pos2
42,15,33,30,pos2
40,16,33,29,pos2
46,19,38,37,pos2
42,17,39,31,pos2
45,18,42,31,pos2
47,16,43,29,pos2
46,8,33,31,pos2
46,8,41,36,pos2
42,18,40,35,pos2
45,9,43,34,pos2
40,15,32,23,pos2
45,17,42,35,pos2
47,17,45,30,pos2
46,19,31,35,pos2
47,8,39,31,pos2
46,15,43,30,pos2
41,16,33,24,pos2
47,16,33,33,pos2
51,18,39,25,pos2
46,17,44,31,pos2
45,17,32,26,pos2
42,18,42,34,pos2
47,9,44,35,pos2
43,17,44,30,pos2
41,17,39,35,pos2
41,15,33,37,pos2
42,21,30,35,pos2
39,11,45,36,pos3
40,22,45,22,pos3
43,20,43,34,pos3
38,12,44,24,pos3
39,25,44,31,pos3
34,25,46,36,pos3
43,20,45,35,pos3
39,26,44,31,pos3
44,22,45,23,pos3
38,25,36,25,pos3
36,22,44,26,pos3
40,20,43,32,pos3
38,12,43,33,pos3
46,12,37,31,pos3
39,12,43,33,pos3
42,26,41,25,pos3
42,25,38,27,pos3
43,22,45,24,pos3
47,21,36,25,pos3
38,21,35,36,pos3
42,22,46,35,pos3
43,12,45,31,pos3
36,21,37,32,pos3
38,26,37,35,pos3
48,26,37,24,pos3
40,26,46,36,pos3
35,12,35,24,pos3
47,26,43,38,pos3
47,12,35,35,pos3
44,12,43,26,pos3
49,12,35,38,pos3
38,20,43,32,pos3
41,20,42,33,pos3
42,25,44,35,pos3
43,13,45,36,pos3
42,22,38,32,pos3
47,20,38,25,pos3
42,23,45,27,pos3
38,22,42,36,pos3
41,12,41,25,pos3
42,24,42,24,pos3
43,26,45,36,pos3
42,20,42,37,pos3
36,26,42,33,pos3
41,22,36,38,pos3
39,25,45,26,pos3
46,27,38,37,pos3
37,20,34,24,pos3
41,10,45,24,pos3
40,27,45,35,pos3
37,11,36,37,pos3
42,13,36,36,pos3
43,26,45,32,pos3
41,12,42,22,pos3
39,21,43,37,pos3
44,12,42,34,pos3
47,13,45,32,pos3
47,12,34,36,pos3
47,11,36,32,pos3
47,20,45,24,pos3
46,25,35,23,pos3
44,10,31,27,pos4
41,22,41,37,pos4
41,24,46,37,pos4
38,22,40,35,pos4
40,21,46,36,pos4
28,21,32,32,pos4
39,21,47,27,pos4
40,21,40,32,pos4
28,20,44,32,pos4
38,21,32,35,pos4
41,12,38,36,pos4
41,19,41,34,pos4
39,10,46,28,pos4
40,10,30,38,pos4
39,10,41,35,pos4
36,23,40,38,pos4
37,22,46,34,pos4
39,20,33,36,pos4
40,19,39,37,pos4
27,19,35,39,pos4
38,19,32,27,pos4
40,21,46,37,pos4
40,21,33,34,pos4
29,11,32,35,pos4
41,20,45,34,pos4
42,9,32,32,pos4
34,11,38,34,pos4
38,20,40,34,pos4
33,10,37,40,pos4
38,10,45,37,pos4
41,22,41,37,pos4
40,22,46,36,pos4
33,22,44,37,pos4
39,22,33,38,pos4
