@relation RSSI_X_predicted

@attribute r1 numeric
@attribute r2 numeric
@attribute r3 numeric
@attribute r4 numeric
@attribute predictedx numeric
@attribute x numeric

@data
48,15,39,31,8688.00684,?
45,18,39,20,7294.76457,?
49,14,38,28,5449.769145,?
37,17,24,19,18949.299849,?
46,16,39,30,10837.536858,?
46,15,38,32,11626.471341,?
45,14,26,31,15283.794323,?
49,14,26,31,11288.489068,?
46,15,26,19,7774.484498,?
43,14,25,30,17010.920477,?
43,14,38,35,15682.411237,?
49,18,38,31,10296.962918,?
44,15,24,18,9836.753353,?
45,18,38,20,7629.907271,?
44,15,39,31,12683.312095,?
49,17,38,21,3482.724626,?
44,18,27,30,18371.995018,?
51,15,37,30,5756.144127,?
50,19,41,30,8444.585894,?
45,15,39,22,6233.463225,?
49,15,25,21,6324.486604,?
51,22,40,31,10659.211145,?
43,15,38,20,7354.920207,?
46,20,37,30,14538.008514,?
45,17,38,21,7478.02988,?
49,19,37,29,10178.313836,?
43,19,38,24,12807.783153,?
39,18,23,21,19255.674831,?
48,14,26,35,14709.992073,?
48,19,37,31,12388.478496,?
44,18,28,20,11980.160588,?
50,20,37,27,8725.695741,?
49,20,21,31,17509.481952,?
49,19,36,32,12330.464055,?
51,14,25,34,11442.98666,?
43,16,26,30,18190.870904,?
42,19,26,30,21462.336909,?
42,16,38,28,13956.646467,?
44,14,40,22,6139.600275,?
41,19,26,21,17010.140667,?
45,19,40,30,13773.860162,?
51,19,39,20,2059.353252,?
47,15,26,30,13438.019086,?
50,16,27,21,5412.921453,?
49,21,40,29,10687.978862,?
42,16,28,31,19125.08099,?
44,17,37,32,15474.359796,?
48,19,39,30,11112.523922,?
40,19,38,35,22466.622996,?
51,19,39,31,8721.714154,?
43,15,26,31,18038.993514,?
47,15,40,19,2083.660379,?
46,16,39,34,13260.21355,?
47,16,39,32,11050.04889,?
45,15,25,21,10319.791858,?
47,18,39,29,10748.134499,?
48,16,40,21,3053.718975,?
48,21,27,23,12409.645244,?
45,19,40,32,14985.198508,?
46,18,42,34,13769.878576,?
49,16,38,28,6964.862272,?
47,15,25,33,15590.169305,?
45,16,40,33,13318.22799,?
49,16,39,20,1784.366189,?
50,14,39,34,7749.815168,?
