@relation RSSI_X_predicted

@attribute r1 numeric
@attribute r2 numeric
@attribute r3 numeric
@attribute r4 numeric
@attribute predictedx numeric
@attribute x numeric

@data
29,25,38,42,38356.631304,54279
49,16,39,34,4648.213491,10477
41,16,33,24,8622.93367,10477
39,28,44,43,27844.203148,30378
36,23,40,38,26060.739364,18440
39,21,35,30,16510.210451,30378
30,19,33,32,28831.377826,30378
33,25,41,39,30646.79087,26403
36,25,41,37,26600.617633,26403
48,19,39,30,4950.60328,6489
42,25,44,35,15792.158131,14452
29,19,39,47,33668.837098,46329
31,21,41,46,32297.312047,30378
35,23,39,38,27622.157589,26403
41,24,37,40,21582.121146,26403
24,26,38,40,41504.568981,38341
33,23,33,45,39892.736593,30378
38,22,42,36,21408.586019,14452
33,19,44,43,26921.750295,22364
24,25,37,39,40516.842959,38341
39,20,33,35,19370.262479,18440
28,16,39,47,31327.306995,46329
27,36,36,47,53798.473922,58293
40,21,40,32,15794.645686,18440
47,15,25,33,6586.998337,6489
35,21,41,32,23100.708123,22364
29,28,38,49,47184.153439,42316
30,26,34,51,48994.721699,50317
31,27,31,50,50736.669351,42316
30,26,40,44,38371.626303,50317
19,33,30,48,55360.705128,54279
33,34,32,43,50944.923924,50317
27,33,32,45,53407.643689,58293
47,9,33,33,4559.133819,10477
48,15,39,31,4600.430893,6489
31,28,32,50,50903.277965,50317
49,14,26,31,4685.473767,6489
46,19,31,35,8444.334718,10477
29,35,36,46,52596.869295,58293
27,27,31,38,46452.437131,58293
33,24,29,53,49878.852918,50317
25,22,35,44,41810.756876,38341
33,22,44,37,26374.082513,18440
40,20,34,34,16643.851672,22364
29,27,38,47,44700.539249,42316
46,19,38,37,8276.36106,10477
41,11,44,40,15044.224857,22364
35,21,34,40,30038.814238,30378
41,25,46,34,17047.687606,30378
30,20,45,34,26131.784488,30378
43,12,45,31,9128.35733,14452
30,25,41,41,34041.479553,42316
28,11,31,26,24766.42022,18440
35,28,42,51,40420.618527,42316
44,17,37,32,8223.339489,6489
44,19,44,27,7821.443875,10477
33,17,31,47,35489.653403,46329
18,28,30,48,54439.855395,54279
35,12,35,24,16935.252107,14452
32,34,36,42,48856.313733,50317
32,26,36,51,46163.861504,50317
29,27,32,49,50654.169881,42316
41,15,33,37,13813.441907,10477
49,19,36,32,4880.297927,6489
38,17,41,38,20218.142615,26403
36,24,41,51,35172.987178,42316
40,22,45,26,14041.629969,18440
33,35,38,41,47070.8668,46329
27,10,39,35,25771.242245,18440
34,25,46,36,26241.247041,14452
41,22,40,29,13068.558856,26403
46,16,39,30,5765.320713,6489
31,24,35,36,33986.941352,26403
45,21,33,28,7294.364304,22364
29,18,39,54,37210.263744,46329
33,27,32,57,52040.36306,50317
33,22,38,47,35183.781487,38341
39,22,41,31,17454.367683,26403
34,33,34,46,49984.160954,50317
32,17,39,27,23220.842449,26403
30,27,41,38,34307.492573,30378
37,21,42,35,21856.331953,22364
29,34,39,54,53217.862785,46329
40,15,32,23,9190.654654,10477
30,27,24,44,52109.865387,58293
19,35,25,41,55596.945834,58293
29,32,38,43,47755.347201,54279
43,13,39,27,7275.913313,10477
47,17,45,30,5576.05452,10477
44,8,38,28,5816.361746,10477
33,22,35,36,35576.227395,26403
46,18,43,33,13212.251135,10477
38,25,36,25,23282.273209,14452
34,25,31,47,47578.099078,42316
37,29,44,46,37424.738349,30378
34,25,38,25,28083.69663,26403
49,14,38,28,4846.571821,6489
34,11,38,34,25584.660692,18440
22,32,32,40,54767.804968,58293
41,10,44,35,20072.913633,18440
37,24,31,47,42692.031503,42316
40,17,40,35,21518.685442,26403
48,21,27,23,4669.0225,6489
30,33,30,43,53192.910202,50317
27,10,31,32,32322.008553,18440
29,32,27,44,54003.687104,58293
34,26,35,48,46828.958038,50317
30,26,39,40,41866.011049,42316
33,33,39,50,50916.479015,50317
33,35,38,54,53469.435748,46329
38,20,43,32,24176.631134,14452
41,17,39,35,19828.301624,10477
46,15,26,19,3426.627036,6489
41,20,45,34,21912.06087,18440
33,27,45,46,38658.388554,38341
34,27,43,34,31520.351766,34353
35,33,36,49,50238.531441,50317
