@RELATION RSSI_X

@ATTRIBUTE r1  NUMERIC
@ATTRIBUTE r2   NUMERIC
@ATTRIBUTE r3  NUMERIC
@ATTRIBUTE r4   NUMERIC
@ATTRIBUTE x NUMERIC

@DATA
48,15,39,31,6489
45,18,39,20,6489
49,14,38,28,6489
37,17,24,19,6489
46,16,39,30,6489
46,15,38,32,6489
45,14,26,31,6489
49,14,26,31,6489
46,15,26,19,6489
43,14,25,30,6489
43,14,38,35,6489
49,18,38,31,6489
44,15,24,18,6489
45,18,38,20,6489
44,15,39,31,6489
49,17,38,21,6489
44,18,27,30,6489
51,15,37,30,6489
50,19,41,30,6489
45,15,39,22,6489
49,15,25,21,6489
51,22,40,31,6489
43,15,38,20,6489
46,20,37,30,6489
45,17,38,21,6489
49,19,37,29,6489
43,19,38,24,6489
39,18,23,21,6489
48,14,26,35,6489
48,19,37,31,6489
44,18,28,20,6489
50,20,37,27,6489
49,20,21,31,6489
49,19,36,32,6489
51,14,25,34,6489
43,16,26,30,6489
42,19,26,30,6489
42,16,38,28,6489
44,14,40,22,6489
41,19,26,21,6489
45,19,40,30,6489
51,19,39,20,6489
47,15,26,30,6489
50,16,27,21,6489
49,21,40,29,6489
42,16,28,31,6489
44,17,37,32,6489
48,19,39,30,6489
40,19,38,35,6489
51,19,39,31,6489
43,15,26,31,6489
47,15,40,19,6489
46,16,39,34,6489
47,16,39,32,6489
45,15,25,21,6489
47,18,39,29,6489
48,16,40,21,6489
48,21,27,23,6489
45,19,40,32,6489
46,18,42,34,6489
49,16,38,28,6489
47,15,25,33,6489
45,16,40,33,6489
49,16,39,20,6489
50,14,39,34,6489
47,9,33,33,10477
44,17,31,29,10477
48,18,42,26,10477
41,15,40,34,10477
45,17,33,29,10477
47,19,40,24,10477
44,11,39,33,10477
45,7,33,28,10477
43,8,33,30,10477
49,16,39,34,10477
46,18,43,32,10477
44,16,39,34,10477
42,9,43,34,10477
43,13,39,27,10477
46,18,33,30,10477
42,17,39,29,10477
45,18,42,26,10477
43,18,42,23,10477
46,18,43,33,10477
42,9,37,27,10477
44,19,44,27,10477
47,15,42,35,10477
40,6,44,25,10477
46,14,39,25,10477
44,8,38,28,10477
37,18,39,33,10477
46,10,39,35,10477
47,15,33,38,10477
41,10,42,31,10477
42,15,33,30,10477
40,16,33,29,10477
46,19,38,37,10477
42,17,39,31,10477
45,18,42,31,10477
47,16,43,29,10477
46,8,33,31,10477
46,8,41,36,10477
42,18,40,35,10477
45,9,43,34,10477
40,15,32,23,10477
45,17,42,35,10477
47,17,45,30,10477
46,19,31,35,10477
47,8,39,31,10477
46,15,43,30,10477
