@relation RSSI_Y_predicted

@attribute r1 numeric
@attribute r2 numeric
@attribute r3 numeric
@attribute r4 numeric
@attribute predictedy numeric
@attribute y numeric

@data
29,25,38,42,6335.184878,6940
49,16,39,34,5649.692104,5740
41,16,33,24,5680.304707,5740
39,28,44,43,5990.127677,6100
36,23,40,38,5944.554724,5840
39,21,35,30,5790.213626,6100
30,19,33,32,6042.451457,6100
33,25,41,39,6080.62133,6000
36,25,41,37,5943.011821,6000
48,19,39,30,5648.16203,5700
42,25,44,35,5748.448028,5790
29,19,39,47,6285.889275,6580
31,21,41,46,6236.207155,6100
35,23,39,38,5992.832587,6000
41,24,37,40,5924.194755,6000
24,26,38,40,6506.410265,6300
33,23,33,45,6312.454988,6100
38,22,42,36,5808.638845,5790
33,19,44,43,6074.514437,5930
24,25,37,39,6475.662677,6300
39,20,33,35,5874.97221,5840
28,16,39,47,6285.042621,6580
27,36,36,47,7054.240112,7110
40,21,40,32,5735.276236,5840
47,15,25,33,5741.257658,5700
35,21,41,32,5804.778146,5930
29,28,38,49,6483.859748,6420
30,26,34,51,6450.414936,6780
31,27,31,50,6521.163097,6420
30,26,40,44,6324.966772,6780
19,33,30,48,7148.825008,6940
33,34,32,43,6869.755051,6780
27,33,32,45,6990.486276,7110
47,9,33,33,5679.321637,5740
48,15,39,31,5637.781604,5700
31,28,32,50,6549.410388,6780
49,14,26,31,5682.181706,5700
46,19,31,35,5751.21341,5740
29,35,36,46,6953.409158,7110
27,27,31,38,6656.809938,7110
33,24,29,53,6411.455387,6780
25,22,35,44,6396.656249,6300
33,22,44,37,5917.479612,5840
40,20,34,34,5817.730642,5930
29,27,38,47,6443.8852,6420
46,19,38,37,5716.826623,5740
41,11,44,40,5802.055881,5930
35,21,34,40,6112.713107,6100
41,25,46,34,5736.083866,6100
30,20,45,34,5883.473673,6100
43,12,45,31,5641.572097,5790
30,25,41,41,6223.814992,6420
28,11,31,26,5879.153669,5840
35,28,42,51,6311.977131,6420
44,17,37,32,5683.644224,5700
44,19,44,27,5644.031448,5740
33,17,31,47,6288.689901,6580
18,28,30,48,6875.367981,6940
35,12,35,24,5689.346402,5790
32,34,36,42,6777.655523,6780
32,26,36,51,6397.532715,6780
29,27,32,49,6546.205813,6420
41,15,33,37,5850.232616,5740
49,19,36,32,5660.676747,5700
38,17,41,38,5841.620665,6000
36,24,41,51,6253.415461,6420
40,22,45,26,5694.542845,5840
33,35,38,41,6718.709359,6580
27,10,39,35,6055.014708,5840
34,25,46,36,5883.891206,5790
41,22,40,29,5724.36008,6000
46,16,39,30,5645.06946,5700
31,24,35,36,6201.839976,6000
45,21,33,28,5725.373945,5930
29,18,39,54,6327.523222,6580
33,27,32,57,6443.701332,6780
33,22,38,47,6259.543351,6300
39,22,41,31,5745.894764,6000
34,33,34,46,6728.006973,6780
32,17,39,27,5763.305796,6000
30,27,41,38,6236.014075,6100
37,21,42,35,5800.676017,5930
29,34,39,54,6748.860024,6580
40,15,32,23,5680.668638,5740
30,27,24,44,6738.766068,7110
19,35,25,41,7294.750766,7110
29,32,38,43,6710.668895,6940
43,13,39,27,5639.388975,5740
47,17,45,30,5627.901682,5740
44,8,38,28,5638.450124,5740
33,22,35,36,6302.541443,6000
46,18,43,33,5777.890312,5740
38,25,36,25,6020.02489,5790
34,25,31,47,6673.050847,6420
37,29,44,46,6318.533127,6100
34,25,38,25,6162.557468,6000
49,14,38,28,5670.863847,5700
34,11,38,34,6122.531718,5840
22,32,32,40,7070.973832,7110
41,10,44,35,5955.343088,5840
37,24,31,47,6495.478989,6420
40,17,40,35,5973.993049,6000
48,21,27,23,5706.859599,5700
30,33,30,43,7012.969149,6780
27,10,31,32,6242.98798,5840
29,32,27,44,7050.920544,7110
34,26,35,48,6601.754024,6780
30,26,39,40,6483.765564,6420
33,33,39,50,6837.063923,6780
33,35,38,54,6967.905609,6580
38,20,43,32,6036.361239,5790
41,17,39,35,5935.372803,5740
46,15,26,19,5674.337647,5700
41,20,45,34,5959.613076,5840
33,27,45,46,6357.986933,6300
34,27,43,34,6241.853552,6190
35,33,36,49,6838.24571,6780
38,10,45,37,6065.806755,5840
35,21,44,47,6224.165473,6300
43,22,45,24,5818.986491,5790
24,25,43,31,6385.45158,6190
42,20,42,33,5903.981423,6100
32,26,41,30,6264.8215,6000
35,16,39,43,6174.243635,6580
39,27,44,42,6152.48694,6190
19,45,21,38,7157.270704,7320
38,20,44,27,6001.612948,5930
37,33,40,49,6646.107709,6780
40,22,46,36,6018.057959,5840
23,33,36,31,6938.224172,7110
32,25,37,44,6500.016279,6940
37,25,40,51,6348.449664,6780
35,22,45,40,6184.225823,6300
28,21,35,43,6504.350477,5930
41,19,34,42,6019.314601,6100
34,20,42,36,6174.339249,6000
47,20,38,25,5699.844091,5790
30,18,31,47,6506.880533,6580
36,19,41,43,6169.063533,5930
30,17,43,40,6236.429242,6190
44,22,34,31,5827.21468,5930
31,32,30,51,7034.703536,6780
23,30,35,44,6994.859981,7110
46,10,39,35,5767.955472,5740
33,27,35,51,6731.119663,6780
30,19,44,30,6205.727615,6190
35,18,28,41,6321.511159,6190
34,23,44,32,6165.79313,6100
41,12,41,25,5863.112057,5790
31,25,43,31,6256.311952,6190
32,31,39,51,6802.070889,6780
38,19,32,27,5979.273717,5840
40,25,38,35,6044.936069,6000
35,24,41,46,6301.926334,6100
31,20,45,40,6237.372771,6100
34,26,35,42,6500.318581,6300
42,16,28,31,5850.490648,5700
37,19,42,34,6076.305207,5930
32,32,35,42,6832.122646,7110
47,8,39,31,5721.882116,5740
27,21,27,32,6640.700103,5840
37,22,42,31,6068.330938,6000
34,26,35,41,6483.39221,6300
39,12,42,27,5950.900917,5930
33,25,30,54,6845.746839,6780
30,29,34,44,6836.971266,6940
33,42,25,38,6996.794571,7320
35,21,41,41,6200.559013,6100
45,19,40,32,5789.563742,5700
33,24,36,37,6355.452507,5840
31,27,25,51,7009.832796,7110
37,25,36,41,6290.671966,6300
32,16,40,45,6238.35466,6580
28,27,38,39,6602.600669,6580
35,20,32,38,6255.874201,5930
35,33,25,37,6859.379713,7110
39,22,42,28,5974.535603,6100
29,33,37,47,6953.653227,7110
38,27,43,32,6087.601713,6190
46,8,33,31,5720.508136,5740
23,13,31,29,6408.382242,7320
34,26,43,39,6410.03695,6190
30,23,38,51,6653.880256,6420
32,26,37,41,6585.838767,6300
40,22,45,22,6010.917793,5790
42,19,43,30,6012.687274,5930
36,20,43,43,6321.720982,5930
37,25,37,52,6599.426732,6420
34,25,40,38,6415.792806,6000
46,21,43,39,5995.263345,5930
39,16,41,37,6160.089434,6000
34,24,37,41,6476.676609,6000
46,17,44,31,5928.603505,5740
33,26,44,39,6418.594133,6300
46,18,42,34,5947.5072,5700
23,23,44,44,6552.906776,6300
30,34,33,51,7040.041325,7110
38,22,41,34,6205.012728,5930
19,44,25,46,7114.161247,7320
40,12,33,28,6018.418322,5930
42,17,39,29,5995.892942,5740
34,33,38,49,6879.687454,6780
45,19,40,30,5946.158194,5700
32,17,32,41,6432.883792,6190
35,26,35,45,6617.844337,7110
30,31,37,43,6837.246523,6940
37,26,40,53,6582.25516,6420
31,27,30,38,6764.326806,6190
45,17,42,35,5970.441869,5740
32,21,32,28,6359.723186,5840
31,21,35,26,6336.282707,6000
35,26,45,45,6430.35959,6190
23,27,24,47,7058.627387,7110
34,17,37,51,6435.392207,6580
29,26,37,38,6608.80515,6940
37,24,38,40,6363.9175,6000
35,24,41,40,6384.064949,6190
38,24,41,30,6177.320929,6190
37,28,32,41,6620.112066,6420
28,18,42,30,6349.77613,6190
